Event,Start time,End time,Building Name/Room Number,Website,Event Description/Agenda,Sponsoring Organization,Event Contact,Event Contact Position/Department,Event Contact Phone,Event Contact Email,Street Address,Latitude,Longitude,Location,Event Info Url,Classification
SIFF Summer Filmmaking Camp (Cinematography Focus),08/02/2016 09:00:00 AM,08/02/2016 03:00:00 PM,,http://www.siff.net/education,"Make a short film in just five days! It will be fast paced, but in small groups students will learn the basics of working together as a movie crew, writing scripts, directing actors, using accessible filmmaking technology, and digital editing. At the end of the week, your short film will be ""in the can"" and we will celebrate with a family screening in the SIFF Film Center Theater. Finished films will be uploaded to a group video link for parents to download and share the final products.<br /> <br /> Filmmaking Camp: Cinematography Focus<br /> August 1 - August 5<br /> 9:00am - 3:00pm, SIFF Film Center<br /> $325 / $300 SIFF Members<br /> Ages 10 - 13.<br /> <br /> Our August 1 Camp focuses on Cinematography for youth filmmakers and the content will be accessible for introductory students as well as generative for repeat campers. The first couple days of camp cover production basics framed within the context of our weekly theme. On Wednesday a guest artist will join the students to engage in a mini masterclass around the craft of cinematography. The final two days, the campers will create their own short films in small groups.<br /> <br /> SIFF Summer Filmmaking Camps are taught by a professional film educator and four college-aged filmmaking mentors. Not only will students have a comprehensive experience of creating a film, but also enjoy the great open space of Seattle Center.<br /> <br /> All equipment is provided but students should expect to bring a sack lunch and their creativity for each day of the camp.<br /> <br /> Please email SIFF Education at <a href=""mailto:education@siff.net"" target=""_blank"">education@siff.net</a> if you have any questions about these camps. ",,SIFF Education ,,206.464.5830 ,education@siff.net,305 Harrison St,47.62208,-122.35398,"(47.62208, -122.35398)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119159164,education
"Toys of the '50s, '60s and '70s",08/03/2016 10:00:00 AM,08/03/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798606,education
SIFF Summer Filmmaking Camp (Cinematography Focus),08/04/2016 09:00:00 AM,08/04/2016 03:00:00 PM,,http://www.siff.net/education,"Make a short film in just five days! It will be fast paced, but in small groups students will learn the basics of working together as a movie crew, writing scripts, directing actors, using accessible filmmaking technology, and digital editing. At the end of the week, your short film will be ""in the can"" and we will celebrate with a family screening in the SIFF Film Center Theater. Finished films will be uploaded to a group video link for parents to download and share the final products.<br /> <br /> Filmmaking Camp: Cinematography Focus<br /> August 1 - August 5<br /> 9:00am - 3:00pm, SIFF Film Center<br /> $325 / $300 SIFF Members<br /> Ages 10 - 13.<br /> <br /> Our August 1 Camp focuses on Cinematography for youth filmmakers and the content will be accessible for introductory students as well as generative for repeat campers. The first couple days of camp cover production basics framed within the context of our weekly theme. On Wednesday a guest artist will join the students to engage in a mini masterclass around the craft of cinematography. The final two days, the campers will create their own short films in small groups.<br /> <br /> SIFF Summer Filmmaking Camps are taught by a professional film educator and four college-aged filmmaking mentors. Not only will students have a comprehensive experience of creating a film, but also enjoy the great open space of Seattle Center.<br /> <br /> All equipment is provided but students should expect to bring a sack lunch and their creativity for each day of the camp.<br /> <br /> Please email SIFF Education at <a href=""mailto:education@siff.net"" target=""_blank"">education@siff.net</a> if you have any questions about these camps. ",,SIFF Education ,,206.464.5830 ,education@siff.net,305 Harrison St,47.62208,-122.35398,"(47.62208, -122.35398)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119159166,education
"Toys of the '50s, '60s and '70s",08/04/2016 10:00:00 AM,08/04/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798607,education
SIFF Summer Filmmaking Camp (Cinematography Focus),08/05/2016 09:00:00 AM,08/05/2016 03:00:00 PM,,http://www.siff.net/education,"Make a short film in just five days! It will be fast paced, but in small groups students will learn the basics of working together as a movie crew, writing scripts, directing actors, using accessible filmmaking technology, and digital editing. At the end of the week, your short film will be ""in the can"" and we will celebrate with a family screening in the SIFF Film Center Theater. Finished films will be uploaded to a group video link for parents to download and share the final products.<br /> <br /> Filmmaking Camp: Cinematography Focus<br /> August 1 - August 5<br /> 9:00am - 3:00pm, SIFF Film Center<br /> $325 / $300 SIFF Members<br /> Ages 10 - 13.<br /> <br /> Our August 1 Camp focuses on Cinematography for youth filmmakers and the content will be accessible for introductory students as well as generative for repeat campers. The first couple days of camp cover production basics framed within the context of our weekly theme. On Wednesday a guest artist will join the students to engage in a mini masterclass around the craft of cinematography. The final two days, the campers will create their own short films in small groups.<br /> <br /> SIFF Summer Filmmaking Camps are taught by a professional film educator and four college-aged filmmaking mentors. Not only will students have a comprehensive experience of creating a film, but also enjoy the great open space of Seattle Center.<br /> <br /> All equipment is provided but students should expect to bring a sack lunch and their creativity for each day of the camp.<br /> <br /> Please email SIFF Education at <a href=""mailto:education@siff.net"" target=""_blank"">education@siff.net</a> if you have any questions about these camps. ",,SIFF Education ,,206.464.5830 ,education@siff.net,305 Harrison St,47.62208,-122.35398,"(47.62208, -122.35398)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119159167,education
"Toys of the '50s, '60s and '70s",08/05/2016 10:00:00 AM,08/05/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798608,education
"Toys of the '50s, '60s and '70s",08/06/2016 10:00:00 AM,08/06/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798609,education
"Toys of the '50s, '60s and '70s",08/07/2016 10:00:00 AM,08/07/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798610,education
"Toys of the '50s, '60s and '70s",08/10/2016 10:00:00 AM,08/10/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798613,education
SIFF Summer Filmmaking Camp (Film Editing Focus),08/08/2016 09:00:00 AM,08/08/2016 03:00:00 PM,,http://www.siff.net/education,"Make a short film in just five days! It will be fast paced, but in small groups students will learn the basics of working together as a movie crew, writing scripts, directing actors, using accessible filmmaking technology, and digital editing. At the end of the week, your short film will be ""in the can"" and we will celebrate with a family screening in the SIFF Film Center Theater. Finished films will be uploaded to a group video link for parents to download and share the final products.<br /> <br /> Filmmaking Camp: Editing and Film Analysis Focus<br /> August 8 - August 12<br /> 9:00am - 3:00pm, SIFF Film Center<br /> $325 / $300 SIFF Members<br /> Ages 10 - 13<br /> <br /> Our August 8 Filmmaking Camp focuses on Editing and Film Analysis for youth filmmakers and the content will be accessible for introductory students as well as generative for repeat campers. The first couple days of camp cover production basics framed within the context of our weekly theme. On Wednesday a guest artist will join the students to engage in a mini masterclass around the craft of Film Editing. The final two days, the campers will create their own short films in small groups.<br /> <br /> SIFF Summer Filmmaking Camps are taught by a professional film educator and four college-aged filmmaking mentors. Not only will students have a comprehensive experience of creating a film, but also enjoy the great open space of Seattle Center.<br /> <br /> All equipment is provided but students should expect to bring a sack lunch and their creativity for each day of the camp.<br /> <br /> Please email SIFF Education at <a href=""mailto:education@siff.net"" target=""_blank"">education@siff.net</a> if you have any questions about these camps. ",,SIFF Education ,,206.464.5830 ,education@siff.net,305 Harrison St,47.62208,-122.35398,"(47.62208, -122.35398)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119159177,education
miniMOHAI,08/08/2016 10:00:00 AM,08/08/2016 01:00:00 PM,,http://www.mohai.org/,"miniMOHAI is back! Come to the MOHAI every Monday this summer for this weekly drop-in program for kids 3 to 5 years old and their caregivers. Explore a variety of interactive pop-up exhibits around the museum all about life in the city, with math and patterns activities, dramatic play, storybooks and more. ", Industry (MOHAI) ,MOHAI Education ,,,education@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118742203,education
"Toys of the '50s, '60s and '70s",08/08/2016 10:00:00 AM,08/08/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798611,education
SIFF Summer Filmmaking Camp (Film Editing Focus),08/09/2016 09:00:00 AM,08/09/2016 03:00:00 PM,,http://www.siff.net/education,"Make a short film in just five days! It will be fast paced, but in small groups students will learn the basics of working together as a movie crew, writing scripts, directing actors, using accessible filmmaking technology, and digital editing. At the end of the week, your short film will be ""in the can"" and we will celebrate with a family screening in the SIFF Film Center Theater. Finished films will be uploaded to a group video link for parents to download and share the final products.<br /> <br /> Filmmaking Camp: Editing and Film Analysis Focus<br /> August 8 - August 12<br /> 9:00am - 3:00pm, SIFF Film Center<br /> $325 / $300 SIFF Members<br /> Ages 10 - 13<br /> <br /> Our August 8 Filmmaking Camp focuses on Editing and Film Analysis for youth filmmakers and the content will be accessible for introductory students as well as generative for repeat campers. The first couple days of camp cover production basics framed within the context of our weekly theme. On Wednesday a guest artist will join the students to engage in a mini masterclass around the craft of Film Editing. The final two days, the campers will create their own short films in small groups.<br /> <br /> SIFF Summer Filmmaking Camps are taught by a professional film educator and four college-aged filmmaking mentors. Not only will students have a comprehensive experience of creating a film, but also enjoy the great open space of Seattle Center.<br /> <br /> All equipment is provided but students should expect to bring a sack lunch and their creativity for each day of the camp.<br /> <br /> Please email SIFF Education at <a href=""mailto:education@siff.net"" target=""_blank"">education@siff.net</a> if you have any questions about these camps. ",,SIFF Education ,,206.464.5830 ,education@siff.net,305 Harrison St,47.62208,-122.35398,"(47.62208, -122.35398)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119159178,education
"Toys of the '50s, '60s and '70s",08/09/2016 10:00:00 AM,08/09/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798612,education
Caregiver Support Group,08/09/2016 01:00:00 PM,08/09/2016 02:30:00 PM,Multipurpose Rm ,http://southeastseattleseniorcenter.org/,"Caregiver Support Group meets at Southeast Seattle Senior Center, the 2nd Tuesday of the month from 1-2:30pm. Open to anyone caring for an older adult or adult with a disability. Talk with other Caregivers. Discuss challenges, frustrations, what works, resources, and services. ",Senior Services ,Toni Crutchfield ,,(206) 727-6210 ,ToniC@seniorservices.org,4655 S Holly St,47.54223,-122.27306,"(47.54223, -122.27306)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117531808,education
SIFF Summer Filmmaking Camp (Film Editing Focus),08/10/2016 09:00:00 AM,08/10/2016 03:00:00 PM,,http://www.siff.net/education,"Make a short film in just five days! It will be fast paced, but in small groups students will learn the basics of working together as a movie crew, writing scripts, directing actors, using accessible filmmaking technology, and digital editing. At the end of the week, your short film will be ""in the can"" and we will celebrate with a family screening in the SIFF Film Center Theater. Finished films will be uploaded to a group video link for parents to download and share the final products.<br /> <br /> Filmmaking Camp: Editing and Film Analysis Focus<br /> August 8 - August 12<br /> 9:00am - 3:00pm, SIFF Film Center<br /> $325 / $300 SIFF Members<br /> Ages 10 - 13<br /> <br /> Our August 8 Filmmaking Camp focuses on Editing and Film Analysis for youth filmmakers and the content will be accessible for introductory students as well as generative for repeat campers. The first couple days of camp cover production basics framed within the context of our weekly theme. On Wednesday a guest artist will join the students to engage in a mini masterclass around the craft of Film Editing. The final two days, the campers will create their own short films in small groups.<br /> <br /> SIFF Summer Filmmaking Camps are taught by a professional film educator and four college-aged filmmaking mentors. Not only will students have a comprehensive experience of creating a film, but also enjoy the great open space of Seattle Center.<br /> <br /> All equipment is provided but students should expect to bring a sack lunch and their creativity for each day of the camp.<br /> <br /> Please email SIFF Education at <a href=""mailto:education@siff.net"" target=""_blank"">education@siff.net</a> if you have any questions about these camps. ",,SIFF Education ,,206.464.5830 ,education@siff.net,305 Harrison St,47.62208,-122.35398,"(47.62208, -122.35398)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119159179,education
SIFF Summer Filmmaking Camp (Film Editing Focus),08/11/2016 09:00:00 AM,08/11/2016 03:00:00 PM,,http://www.siff.net/education,"Make a short film in just five days! It will be fast paced, but in small groups students will learn the basics of working together as a movie crew, writing scripts, directing actors, using accessible filmmaking technology, and digital editing. At the end of the week, your short film will be ""in the can"" and we will celebrate with a family screening in the SIFF Film Center Theater. Finished films will be uploaded to a group video link for parents to download and share the final products.<br /> <br /> Filmmaking Camp: Editing and Film Analysis Focus<br /> August 8 - August 12<br /> 9:00am - 3:00pm, SIFF Film Center<br /> $325 / $300 SIFF Members<br /> Ages 10 - 13<br /> <br /> Our August 8 Filmmaking Camp focuses on Editing and Film Analysis for youth filmmakers and the content will be accessible for introductory students as well as generative for repeat campers. The first couple days of camp cover production basics framed within the context of our weekly theme. On Wednesday a guest artist will join the students to engage in a mini masterclass around the craft of Film Editing. The final two days, the campers will create their own short films in small groups.<br /> <br /> SIFF Summer Filmmaking Camps are taught by a professional film educator and four college-aged filmmaking mentors. Not only will students have a comprehensive experience of creating a film, but also enjoy the great open space of Seattle Center.<br /> <br /> All equipment is provided but students should expect to bring a sack lunch and their creativity for each day of the camp.<br /> <br /> Please email SIFF Education at <a href=""mailto:education@siff.net"" target=""_blank"">education@siff.net</a> if you have any questions about these camps. ",,SIFF Education ,,206.464.5830 ,education@siff.net,305 Harrison St,47.62208,-122.35398,"(47.62208, -122.35398)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119159180,education
"Toys of the '50s, '60s and '70s",08/11/2016 10:00:00 AM,08/11/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798614,education
SIFF Summer Filmmaking Camp (Film Editing Focus),08/12/2016 09:00:00 AM,08/12/2016 03:00:00 PM,,http://www.siff.net/education,"Make a short film in just five days! It will be fast paced, but in small groups students will learn the basics of working together as a movie crew, writing scripts, directing actors, using accessible filmmaking technology, and digital editing. At the end of the week, your short film will be ""in the can"" and we will celebrate with a family screening in the SIFF Film Center Theater. Finished films will be uploaded to a group video link for parents to download and share the final products.<br /> <br /> Filmmaking Camp: Editing and Film Analysis Focus<br /> August 8 - August 12<br /> 9:00am - 3:00pm, SIFF Film Center<br /> $325 / $300 SIFF Members<br /> Ages 10 - 13<br /> <br /> Our August 8 Filmmaking Camp focuses on Editing and Film Analysis for youth filmmakers and the content will be accessible for introductory students as well as generative for repeat campers. The first couple days of camp cover production basics framed within the context of our weekly theme. On Wednesday a guest artist will join the students to engage in a mini masterclass around the craft of Film Editing. The final two days, the campers will create their own short films in small groups.<br /> <br /> SIFF Summer Filmmaking Camps are taught by a professional film educator and four college-aged filmmaking mentors. Not only will students have a comprehensive experience of creating a film, but also enjoy the great open space of Seattle Center.<br /> <br /> All equipment is provided but students should expect to bring a sack lunch and their creativity for each day of the camp.<br /> <br /> Please email SIFF Education at <a href=""mailto:education@siff.net"" target=""_blank"">education@siff.net</a> if you have any questions about these camps. ",,SIFF Education ,,206.464.5830 ,education@siff.net,305 Harrison St,47.62208,-122.35398,"(47.62208, -122.35398)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119159181,education
"Toys of the '50s, '60s and '70s",08/12/2016 10:00:00 AM,08/12/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798615,education
"Toys of the '50s, '60s and '70s",08/13/2016 10:00:00 AM,08/13/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798616,education
"Toys of the '50s, '60s and '70s",08/14/2016 10:00:00 AM,08/14/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798617,education
"Toys of the '50s, '60s and '70s",08/17/2016 10:00:00 AM,08/17/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798620,education
miniMOHAI,08/22/2016 10:00:00 AM,08/22/2016 01:00:00 PM,,http://www.mohai.org/,"miniMOHAI is back! Come to the MOHAI every Monday this summer for this weekly drop-in program for kids 3 to 5 years old and their caregivers. Explore a variety of interactive pop-up exhibits around the museum all about life in the city, with math and patterns activities, dramatic play, storybooks and more. ", Industry (MOHAI) ,MOHAI Education ,,,education@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118742205,education
SIFF Summer Filmmaking Camp (Production Design Focus),08/15/2016 09:00:00 AM,08/15/2016 03:00:00 PM,,http://www.siff.net/education,"Make a short film in just five days! It will be fast paced, but in small groups students will learn the basics of working together as a movie crew, writing scripts, directing actors, using accessible filmmaking technology, and digital editing. At the end of the week, your short film will be ""in the can"" and we will celebrate with a family screening in the SIFF Film Center Theater. Finished films will be uploaded to a group video link for parents to download and share the final products.<br /> <br /> Filmmaking Camp: Production Design Focus (Building Scenes, Sets, Shots, and Environments using Light, Cinematography, and Sound)<br /> August 15 - August 19<br /> 9:00am - 3:00pm, SIFF Film Center<br /> $325 / $300 SIFF Members<br /> Ages 10 - 13.<br /> <br /> Our August 15 Camp focuses on Production Design for youth filmmakers and the content will be accessible for introductory students as well as generative for repeat campers. The first couple days of camp cover production basics framed within the context of our weekly theme. On Wednesday a guest artist will join the students to engage in a mini masterclass around the craft and creativity of Production Design. The final two days, the campers will create their own short films in small groups.<br /> <br /> SIFF Summer Filmmaking Camps are taught by a professional film educator and four college-aged filmmaking mentors. Not only will students have a comprehensive experience of creating a film, but also enjoy the great open space of Seattle Center.<br /> <br /> All equipment is provided but students should expect to bring a sack lunch and their creativity for each day of the camp.<br /> <br /> Please email SIFF Education at <a href=""mailto:education@siff.net"" target=""_blank"">education@siff.net</a> if you have any questions about these camps. ",,SIFF Education ,,206.464.5830 ,education@siff.net,305 Harrison St,47.62208,-122.35398,"(47.62208, -122.35398)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119149373,education
miniMOHAI,08/15/2016 10:00:00 AM,08/15/2016 01:00:00 PM,,http://www.mohai.org/,"miniMOHAI is back! Come to the MOHAI every Monday this summer for this weekly drop-in program for kids 3 to 5 years old and their caregivers. Explore a variety of interactive pop-up exhibits around the museum all about life in the city, with math and patterns activities, dramatic play, storybooks and more. ", Industry (MOHAI) ,MOHAI Education ,,,education@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118742204,education
"Toys of the '50s, '60s and '70s",08/15/2016 10:00:00 AM,08/15/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798618,education
SIFF Summer Filmmaking Camp (Production Design Focus),08/16/2016 09:00:00 AM,08/16/2016 03:00:00 PM,,http://www.siff.net/education,"Make a short film in just five days! It will be fast paced, but in small groups students will learn the basics of working together as a movie crew, writing scripts, directing actors, using accessible filmmaking technology, and digital editing. At the end of the week, your short film will be ""in the can"" and we will celebrate with a family screening in the SIFF Film Center Theater. Finished films will be uploaded to a group video link for parents to download and share the final products.<br /> <br /> Filmmaking Camp: Production Design Focus (Building Scenes, Sets, Shots, and Environments using Light, Cinematography, and Sound)<br /> August 15 - August 19<br /> 9:00am - 3:00pm, SIFF Film Center<br /> $325 / $300 SIFF Members<br /> Ages 10 - 13.<br /> <br /> Our August 15 Camp focuses on Production Design for youth filmmakers and the content will be accessible for introductory students as well as generative for repeat campers. The first couple days of camp cover production basics framed within the context of our weekly theme. On Wednesday a guest artist will join the students to engage in a mini masterclass around the craft and creativity of Production Design. The final two days, the campers will create their own short films in small groups.<br /> <br /> SIFF Summer Filmmaking Camps are taught by a professional film educator and four college-aged filmmaking mentors. Not only will students have a comprehensive experience of creating a film, but also enjoy the great open space of Seattle Center.<br /> <br /> All equipment is provided but students should expect to bring a sack lunch and their creativity for each day of the camp.<br /> <br /> Please email SIFF Education at <a href=""mailto:education@siff.net"" target=""_blank"">education@siff.net</a> if you have any questions about these camps. ",,SIFF Education ,,206.464.5830 ,education@siff.net,305 Harrison St,47.62208,-122.35398,"(47.62208, -122.35398)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119149374,education
"Toys of the '50s, '60s and '70s",08/16/2016 10:00:00 AM,08/16/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798619,education
